"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
676663,"October 15, 2016",California,"Los Angeles","2918 Rimpau Blvd",4,11,N/A
672203,"October 9, 2016",Michigan,"Grand Rapids","1850 28th Street SE",1,8,N/A
662342,"September 24, 2016",Maryland,Baltimore,"Greenmount Ave and Preston St",0,8,N/A
657634,"September 17, 2016","District of Columbia",Washington,"2600 block of Birney Pl SE",2,7,N/A
647865,"September 4, 2016",Virginia,Roanoke,"1020 Orange Ave NE",1,10,N/A
644794,"August 31, 2016",Washington,Renton,"800 block of Pierce Ave NE",0,0,N/A
634787,"August 21, 2016",Connecticut,Bridgeport,"19 Plymouth St",0,13,N/A
611479,"July 25, 2016",Florida,"Fort Myers","3580 Evans Ave",2,19,N/A
610584,"July 24, 2016",Ohio,Hamilton,"1555 Main St",1,7,N/A
604233,"July 16, 2016",California,Bakersfield,"621 Stephens Dr",1,14,N/A
597756,"July 7, 2016",Texas,Dallas,"800 Main St",5,9,N/A
595482,"July 4, 2016",Arizona,Phoenix,"4000 block of West Southern Avenue",2,6,N/A
577157,"June 12, 2016",Florida,Orlando,"1912 S Orange Ave",50,53,N/A
553803,"May 5, 2016",Louisiana,Shreveport,"300 block of North Thomas Drive",2,6,N/A
553570,"May 4, 2016",Minnesota,Minneapolis,"16th Avenue North and Newton Avenue North",1,7,N/A
545525,"April 22, 2016",Ohio,Piketon,"4077 Union Hill Rd",8,0,N/A
548876,"April 17, 2016","South Carolina",Harleyville,"120 block of Dogwood Trail",0,0,N/A
519541,"March 9, 2016",Pennsylvania,"Pittsburgh (Wilkinsburg)","1304 Franklin Ave",6,2,N/A
517073,"March 6, 2016",California,Compton,"900 block of West Victoria Street",1,8,N/A
511436,"February 25, 2016",Kansas,Hesston,"200 S Ridge Rd",4,14,N/A
508640,"February 20, 2016",Michigan,Kalamazoo,"5581 Cracker Barrel Blvd",6,2,N/A
501233,"February 7, 2016",Florida,Orlando,"7432 Universal Blvd",2,10,N/A
501168,"February 7, 2016","New York",Rochester,"547 State St",1,7,N/A
500556,"February 6, 2016",Florida,Tampa,"8123 N Nebraska Ave",2,6,N/A
495940,"January 30, 2016",Arizona,Glendale,"67th and Missouri Avenue",3,5,N/A
456893,"December 2, 2015",California,"San Bernardino","1365 South Waterman Ave",16,19,N/A
454059,"November 27, 2015",Colorado,"Colorado Springs","3480 Centennial Blvd",3,9,N/A
451495,"November 22, 2015",Louisiana,"New Orleans","1900 block of Gallier St",0,17,N/A
423223,"October 1, 2015",Oregon,Roseburg,"1140 Umpqua College Rd",10,9,N/A
421014,"September 27, 2015",Georgia,Greenville,"1140 Hill Haven Road",0,10,N/A
400091,"August 23, 2015",California,Modesto,"1100 block of Kansas Avenue",1,7,N/A
399212,"August 21, 2015","North Carolina",Durham,"2700 block of Hinson Drive",0,8,N/A
398361,"August 19, 2015","New York",Rochester,"500 Genesee St",3,4,N/A
390774,"August 8, 2015",Arkansas,Blytheville,"833 Anderson Street",1,11,N/A
390526,"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,N/A
426754,"August 2, 2015",Louisiana,"La Place (Laplace)","2300 block of Yorktowne Dr",0,0,N/A
385779,"August 2, 2015","New York",Brooklyn,"Stanley Avenue and Crescent Street",0,9,N/A
380162,"July 23, 2015",Louisiana,Lafayette,"3141 Johnson Street",3,9,N/A
374106,"July 14, 2015",Nevada,"North Las Vegas",N/A,0,0,N/A
368732,"July 5, 2015",Indiana,"Fort Wayne","1400 block of McCulloch Street",0,9,N/A
361198,"June 20, 2015",Pennsylvania,Philadelphia,"4100 block of Ogden St",0,10,N/A
361212,"June 20, 2015",Michigan,Detroit,"Dexter and Webb",1,11,N/A
359830,"June 17, 2015","South Carolina",Charleston,"110 Calhoun Street",9,0,N/A
356065,"June 11, 2015",Connecticut,Bridgeport,"468 Trumbull Ave",1,8,N/A
341622,"May 17, 2015",Texas,Waco,"4671 S Jack Kultgen Fwy",9,18,N/A
300860,"March 4, 2015",California,"San Bernardino","190 block of W Club Center Dr",3,4,N/A
300706,"March 3, 2015",Texas,"Corpus Christi","900 block of Louis Lynch Dr.",0,0,N/A
298122,"February 26, 2015",Missouri,Tyrone,"18279 Highway H",8,1,N/A
283041,"January 24, 2015",Nebraska,Omaha,"3402 Parker St",3,5,N/A
268394,"December 22, 2014",Florida,Miami,"NW 17th Avenue and 87th Street",0,9,N/A
266424,"December 21, 2014",Illinois,"Calumet City","600 block of Escanba",1,8,N/A
223057,"November 20, 2014",Missouri,"Saint Louis","1700 block of Archie Moore Ave",0,2,N/A
220587,"November 12, 2014","North Carolina",Walkertown,"6000 block of Cain Forest Drive",1,0,N/A
218450,"November 10, 2014",Missouri,"Saint Louis","4300 block of North Broadway",0,1,N/A
204507,"October 9, 2014","District of Columbia",Washington,"600 block of Taylor Street NE",0,0,N/A
200022,"October 1, 2014",Missouri,"Saint Louis","5900 block of Michigan",0,1,N/A
197384,"September 28, 2014",Florida,Miami,"NW 7th Ave and NW 64th St",0,15,N/A
189562,"September 11, 2014",Michigan,Detroit,"14000 block of Patton",1,7,N/A
182771,"August 28, 2014","North Carolina",Charlotte,"Griers Grove Road",0,2,N/A
178471,"August 21, 2014",Tennessee,Nashville,"Chesapeake Drive",0,0,N/A
176347,"August 17, 2014","South Carolina",Chester,"Holmes Road",0,0,N/A
171802,"August 9, 2014",Minnesota,Minneapolis,"400 3rd Ave N",1,8,N/A
167965,"July 30, 2014",Texas,Houston,"6300 block of Chippewa Blvd",0,0,N/A
163930,"July 26, 2014",Georgia,Sylvester,"Royal Street",0,8,N/A
152468,"June 29, 2014",Louisiana,"New Orleans","700 block of Bourbon St",1,9,N/A
150299,"June 24, 2014",Florida,Miami,"Northwest 12th Avenue and 65th Street",2,7,N/A
141004,"May 30, 2014","North Carolina",Charlotte,"9200 Bradstreet Commons Way",0,0,N/A
140312,"May 29, 2014",Tennessee,Madison,"200 Manzano Road",0,0,N/A
140185,"May 23, 2014",Louisiana,"New Orleans","6200 block of Eads Street",1,7,N/A
138282,"May 23, 2014",California,Goleta,"840 Embarcadero del Norte",4,7,N/A
134152,"May 10, 2014",Virginia,"Newport News","2200 Jefferson Avenue",1,1,N/A
128333,"April 22, 2014",Louisiana,Lafayette,"500 block of Orchid Drive ",0,0,N/A
121031,"April 2, 2014",Texas,"Fort Hood","Motor Pool Road and Tank Destroyer Boulevard",4,16,N/A
108626,"February 20, 2014",Florida,"Saint Petersburg",N/A,0,12,N/A
107519,"February 16, 2014",Texas,Dallas,"2600 block of South Harwood Street",1,7,N/A
111983,"February 13, 2014",Florida,"Boynton Beach","500 block of Northwest 10th Avenue",0,0,N/A
101343,"January 25, 2014",Louisiana,"Baton Rouge","8100 block of Skysail Ave.",0,0,N/A
97308,"January 17, 2014",Ohio,Columbus,"200 block of Benfield Av",0,1,N/A
496668,"December 28, 2013",Alabama,Montgomery,"954 Highland Ave",3,5,N/A
496634,"December 26, 2013",Louisiana,Slidell,"2144 First St",2,6,N/A
493842,"November 9, 2013",Texas,Cypress,"7300 block of Enchanted Creek Drive",2,16,N/A
493035,"November 7, 2013",Michigan,Detroit,"Conley and 7 Mile",3,7,N/A
492570,"October 27, 2013",California,Vallejo,"200 block of Princeton Avenue",1,6,N/A
481043,"October 13, 2013",Pennsylvania,Harrisburg,"1524 Walnut St",0,8,N/A
480765,"October 5, 2013",California,Fresno,"3883 E. Calwa #114",1,12,N/A
480521,"September 19, 2013",Illinois,Chicago,"1809 W 50th St",0,13,N/A
480366,"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",13,3,N/A
491698,"August 7, 2013",Texas,Dallas,"7100 block of Long Canyon Trail",4,4,N/A
490226,"June 30, 2013","New York",Brooklyn,"616 E. 52nd Street",0,9,N/A
489105,"June 23, 2013",Missouri,"Kansas City","1917 Prospect Ave",1,8,N/A
486209,"May 12, 2013",Louisiana,"New Orleans","1400 block of Frenchmen St",0,19,N/A
482771,"March 11, 2013","District of Columbia",Washington,"1200 North Capitol St NW",0,13,N/A
480443,"February 24, 2013",Georgia,Macon,"2800 block of Mercer University Drive",0,8,N/A
1119336,"December 14, 2012",Connecticut,"Sandy Hook","12 Dickenson Dr",28,2,N/A